ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229165,HY416542,9/9/2015 11:33,047XX N LONG AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,TRUE,FALSE,1623,16,45,15,18,1139479,1930999,2015,9/17/2015 11:37,41.96677295,-87.76254318,"(41.966772946, -87.762543183)"
10229167,HY416421,9/9/2015 10:15,097XX S EMERALD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2223,22,21,73,08B,1173026,1840300,2015,2/10/2018 15:50,41.71720781,-87.64188076,"(41.717207814, -87.641880758)"
10229168,HY416530,9/9/2015 9:00,057XX W 64TH PL,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,812,8,13,64,26,1139193,1861206,2015,2/10/2018 15:50,41.77525678,-87.76529298,"(41.775256781, -87.765292977)"
10229170,HY416411,9/9/2015 1:30,002XX N KENNETH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1113,11,28,26,14,1146691,1900724,2015,2/10/2018 15:50,41.88356057,-87.73679982,"(41.883560565, -87.736799822)"
10229171,HY416348,9/8/2015 17:00,026XX S KOSTNER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1031,10,22,30,7,1147484,1886134,2015,2/10/2018 15:50,41.84350864,-87.73426169,"(41.843508642, -87.73426169)"
10229172,HY416529,9/9/2015 9:30,017XX W DEVON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,2432,24,40,1,26,1163459,1942556,2015,2/10/2018 15:50,41.99801353,-87.67404488,"(41.998013527, -87.674044877)"
10229173,HY416531,9/8/2015 22:30,012XX W DEVON AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,TRUE,FALSE,2433,24,48,77,5,1166685,1942639,2015,1/24/2019 16:13,41.99817251,-87.6621752,"(41.998172509, -87.662175196)"
10229174,HY416563,9/5/2015 21:00,024XX W ADDISON ST,870,THEFT,POCKET-PICKING,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1921,19,47,5,6,1159654,1923837,2015,2/10/2018 15:50,41.94672724,-87.68856042,"(41.946727243, -87.688560416)"
10229176,HY416550,9/9/2015 10:00,009XX N DRAKE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1121,11,27,23,18,1152538,1906113,2015,2/10/2018 15:50,41.89823499,-87.71518646,"(41.898234987, -87.715186457)"
10229178,HY416560,9/9/2015 11:50,003XX S LOCKWOOD AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1522,15,29,25,18,1141071,1897742,2015,2/10/2018 15:50,41.87548292,-87.75751064,"(41.875482924, -87.757510642)"
10229179,HY416572,1/1/2015 0:00,039XX S LAKE PARK AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,214,2,4,36,20,1183388,1878984,2015,2/10/2018 15:50,41.82312577,-87.60272595,"(41.823125769, -87.602725951)"
10229181,HY416459,9/9/2015 7:30,030XX S KOLIN AVE,460,BATTERY,SIMPLE,ALLEY,TRUE,FALSE,1031,10,22,30,08B,1147878,1883934,2015,2/10/2018 15:50,41.837464,-87.73287222,"(41.837463997, -87.732872222)"
10229182,HY416585,9/9/2015 11:00,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,833,8,13,65,6,1145727,1853720,2015,2/10/2018 15:50,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
10229184,HY416557,9/7/2015 3:30,100XX W OHARE ST,820,THEFT,$500 AND UNDER,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,FALSE,FALSE,1651,16,41,76,6,1100658,1934241,2015,2/10/2018 15:50,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
10229191,HY416534,9/7/2015 19:00,003XX S WABASH AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,113,1,2,32,6,1176860,1898834,2015,2/10/2018 15:50,41.8777454,-87.62607464,"(41.877745403, -87.626074642)"
10229196,HY416445,8/21/2015 15:30,002XX E ONTARIO ST,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,1834,18,42,8,6,1178002,1904540,2015,2/10/2018 15:50,41.89337706,-87.62170782,"(41.893377059, -87.621707822)"
10229197,HY416548,9/9/2015 11:45,075XX N ROGERS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,2422,24,49,1,18,1164702,1950171,2015,2/10/2018 15:50,42.01888288,-87.66925503,"(42.018882883, -87.669255027)"
10229206,HY415971,9/4/2015 16:00,100XX S COTTAGE GROVE AVE,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,SIDEWALK,FALSE,TRUE,511,5,9,50,26,1183025,1838766,2015,2/10/2018 15:50,41.71277213,-87.6053065,"(41.71277213, -87.605306501)"
10000524,HY190240,2/4/2015 13:07,004XX W 80TH ST,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,621,6,21,44,26,1174759,1851879,2015,2/10/2018 15:50,41.74894375,-87.63518955,"(41.748943754, -87.635189547)"
10084825,HY273789,5/22/2015 13:00,017XX W NORTH SHORE AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,2432,24,49,1,5,1163376,1944549,2015,2/10/2018 15:50,42.00348412,-87.67429377,"(42.003484124, -87.674293773)"
10229207,HY416386,10/16/2014 9:00,044XX W 28TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,FALSE,FALSE,1031,10,22,30,11,1147278,1885011,2014,2/9/2018 15:44,41.84043092,-87.73504638,"(41.84043092, -87.735046382)"
10229209,HY416242,9/8/2015 10:45,023XX W NORTH AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,1424,14,1,24,5,1160363,1910580,2015,2/10/2018 15:50,41.91033448,-87.68632205,"(41.91033448, -87.686322049)"
10229210,HY416578,2/27/2015 12:00,039XX W 26TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,FALSE,FALSE,1013,10,22,30,11,1150304,1886428,2015,2/10/2018 15:50,41.84426097,-87.72390514,"(41.844260971, -87.723905144)"
10229222,HY416292,9/8/2015 20:00,031XX N DRAKE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1412,14,35,21,7,1152178,1920580,2015,2/10/2018 15:50,41.93794082,-87.7161263,"(41.93794082, -87.716126299)"
10229223,HY415321,9/8/2015 13:00,117XX S LA SALLE ST,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,522,5,34,53,08A,1177367,1827079,2015,2/10/2018 15:50,41.68083073,-87.62637908,"(41.680830727, -87.626379076)"
10229231,HY416575,7/14/2015 23:18,001XX W MADISON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),FALSE,FALSE,122,1,42,32,11,1175421,1900363,2015,2/10/2018 15:50,41.88197349,-87.6313123,"(41.881973488, -87.631312304)"
